Proposal,Votes cast,Yes,Abstain,Meets approval threshold,Requested Ada,Status,Fund depletion,Reason for not funded status
AI Agent to Break Barriers and Unlock Cardano DeFi Adoption,197,"₳65,456,140","₳35,368,226",YES,"₳700,000",NOT FUNDED,"₳228,300",Over Budget
Clarity X Tempo: Cardano Governance Hub,266,"₳64,968,877","₳35,571,772",YES,"₳700,000",NOT FUNDED,"₳228,300",Over Budget
"Faster & Trusted Cardano Oracle, 98x Cheaper vs Chainlink",287,"₳62,677,352","₳23,659,459",YES,"₳590,000",NOT FUNDED,"₳228,300",Over Budget
Financial Inclusion for Unbanked Women via DID and Education,273,"₳61,664,587","₳32,982,207",YES,"₳636,800",NOT FUNDED,"₳228,300",Over Budget
ISO-Compliant Forest MRV - Satellite Oracle Extension,245,"₳61,242,624","₳26,645,341",YES,"₳250,000",NOT FUNDED,"₳228,300",Over Budget
Mesh UTXOS x Mercuryo (MasterCard) x Checkpoint,310,"₳57,253,369","₳28,055,172",YES,"₳490,000",NOT FUNDED,"₳228,300",Over Budget
Flow V2 - Open Source Multi Collateral AMM Lending Pools,250,"₳54,636,633","₳26,617,889",YES,"₳408,000",NOT FUNDED,"₳228,300",Over Budget
"All-in-One Catalyst: Notifications, AI Lists & Portfolios",204,"₳54,242,398","₳30,393,784",YES,"₳250,000",NOT FUNDED,"₳228,300",Over Budget
Onchain Leverage Trading on Splash,221,"₳53,843,707","₳28,261,432",YES,"₳338,000",NOT FUNDED,"₳228,300",Over Budget
Muzify Cardano Fan Wallet & USDA Loyalty Engine,146,"₳53,506,600","₳27,426,907",YES,"₳350,000",NOT FUNDED,"₳228,300",Over Budget
WFP Price Ledger: Democratizing Market Data with Blockchain,178,"₳53,037,787","₳27,426,734",YES,"₳480,000",NOT FUNDED,"₳228,300",Over Budget
One-Click Insurance for transactions onCardano Chain & DApps,206,"₳52,873,035","₳34,529,840",YES,"₳500,000",NOT FUNDED,"₳228,300",Over Budget
Whitelabel Hydra Auctions for Gaming & Defi (MLabs + Ikigai),249,"₳49,502,551","₳30,005,811",YES,"₳360,793",NOT FUNDED,"₳228,300",Over Budget
Armenia- Country Level Waste System with Plastiks.io,236,"₳49,405,374","₳38,609,891",YES,"₳280,000",NOT FUNDED,"₳228,300",Over Budget
NuNet: Decentralized SPO Computing - Scaling&Expansion,271,"₳48,247,912","₳22,413,682",YES,"₳250,000",NOT FUNDED,"₳228,300",Over Budget
SMARTMERCH™ on Cardano — Bringing Onchain RWA to Daily Life,164,"₳47,937,513","₳32,031,478",YES,"₳500,000",NOT FUNDED,"₳228,300",Over Budget
Commercial Bank Money Token CBMT on Cardano,225,"₳47,689,552","₳32,359,898",YES,"₳500,000",NOT FUNDED,"₳228,300",Over Budget
BikeID Proof Of Bike Millions of Bikes Registered on Cardano,260,"₳47,550,574","₳29,479,561",YES,"₳647,354",NOT FUNDED,"₳228,300",Over Budget
Juicychain: Tracing the Global Juice Supply Chain on Cardano,225,"₳46,524,451","₳30,032,772",YES,"₳505,000",NOT FUNDED,"₳228,300",Over Budget
Hydra-Powered EV Battery DPP: Privacy + Transparency,166,"₳45,908,935","₳28,907,298",YES,"₳396,000",NOT FUNDED,"₳228,300",Over Budget
Malama Carbon - Universal dMRV Infrastructure on Cardano,205,"₳44,747,331","₳29,622,504",YES,"₳495,000",NOT FUNDED,"₳228,300",Over Budget
"Bridge between Cardano, Polkadot, Ethereum and its L2s",334,"₳44,274,882","₳44,765,573",NO,"₳1,000,000",NOT FUNDED,"₳228,300",Approval Threshold
LayerZero Support on Cardano Testnets,180,"₳40,085,271","₳30,028,666",NO,"₳400,000",NOT FUNDED,"₳228,300",Approval Threshold
Ascent Rivals - Onboarding Next Million Users,209,"₳39,469,917","₳36,642,373",NO,"₳800,000",NOT FUNDED,"₳228,300",Approval Threshold
EUR Stablecoin on Cardano - Fiat Backed and MiCA Compliant,315,"₳37,930,103","₳35,815,059",NO,"₳780,571",NOT FUNDED,"₳228,300",Approval Threshold
WineOpSys via Originate - ERP with supply chain tracking,170,"₳36,984,316","₳29,393,583",NO,"₳379,000",NOT FUNDED,"₳228,300",Approval Threshold
"Enterprise-grade Verifiable Database,300x cheaper, 99%faster",220,"₳36,975,548","₳38,296,374",NO,"₳1,000,000",NOT FUNDED,"₳228,300",Approval Threshold
Cross Chain DeFi - Perpetuals and Lending - Pondora,211,"₳36,648,229","₳25,304,543",NO,"₳285,000",NOT FUNDED,"₳228,300",Approval Threshold
ClimateAid: Tokenized Resilience & Early Action,183,"₳36,558,700","₳40,170,368",NO,"₳250,000",NOT FUNDED,"₳228,300",Approval Threshold
Space and Time: Deploying Thousands of Mini-apps to Cardano,219,"₳36,507,213","₳37,600,266",NO,"₳900,000",NOT FUNDED,"₳228,300",Approval Threshold
Connecting to Solana Via RosenBridge,293,"₳36,324,974","₳27,732,159",NO,"₳500,000",NOT FUNDED,"₳228,300",Approval Threshold
Institutional Staking & Governance via Colossus Hub,163,"₳35,152,056","₳27,428,086",NO,"₳250,000",NOT FUNDED,"₳228,300",Approval Threshold
SteelSwap V2,236,"₳34,962,545","₳25,936,259",NO,"₳250,000",NOT FUNDED,"₳228,300",Approval Threshold
Tokenized CO₂ Commitments via Plastiks Platform,195,"₳33,288,155","₳29,412,451",NO,"₳250,000",NOT FUNDED,"₳228,300",Approval Threshold
TapDano & Petrobras - Hydra & NFC Presence Tracking System,185,"₳32,323,750","₳34,936,827",NO,"₳828,162",NOT FUNDED,"₳228,300",Approval Threshold
DexHunter Advanced Order Types,232,"₳31,877,471","₳26,017,252",NO,"₳250,000",NOT FUNDED,"₳228,300",Approval Threshold
BankFi: Asset-Backed Launches Enabling Project Longevity,246,"₳30,242,302","₳31,180,941",NO,"₳330,000",NOT FUNDED,"₳228,300",Approval Threshold
"TrustSwap(TS), STORM & MLabs: Cardano TS Integration + WL",208,"₳29,739,243","₳30,414,568",NO,"₳665,000",NOT FUNDED,"₳228,300",Approval Threshold
MLabs + J50 VENTURES: Playrz Responsible p2p Sports Platform,209,"₳28,380,585","₳30,461,910",NO,"₳497,369",NOT FUNDED,"₳228,300",Approval Threshold
LootMogul|SuperAthlete.ai: AI+Tokenized Sports IP on Cardano,139,"₳27,532,109","₳26,278,041",NO,"₳350,000",NOT FUNDED,"₳228,300",Approval Threshold
Bodega Market V4 - Central Limit Order Book (CLOB),219,"₳27,224,016","₳43,479,732",NO,"₳370,000",NOT FUNDED,"₳228,300",Approval Threshold
Scaling Cardano Adoption via K-12 Financial EdTech Platform,180,"₳26,734,111","₳32,219,737",NO,"₳770,000",NOT FUNDED,"₳228,300",Approval Threshold
Space and Time: Secure Enterprise Data for Cardano,229,"₳26,717,861","₳39,926,463",NO,"₳900,000",NOT FUNDED,"₳228,300",Approval Threshold
BASE and INK: Connecting Exchange Environments to CNTs,200,"₳26,010,391","₳30,568,595",NO,"₳480,000",NOT FUNDED,"₳228,300",Approval Threshold
Integrating USDA with zerohash to access TradFi institutions,237,"₳24,893,485","₳40,859,823",NO,"₳1,000,000",NOT FUNDED,"₳228,300",Approval Threshold
Rainforest Alliance: Blockchain Traceability Pilot,230,"₳24,254,457","₳45,461,020",NO,"₳1,000,000",NOT FUNDED,"₳228,300",Approval Threshold
Cardano Warriors: Driving Cardano Adoption via Epic Games,238,"₳23,263,554","₳31,732,589",NO,"₳360,000",NOT FUNDED,"₳228,300",Approval Threshold
Cardano Trade-to-Earn Hub (Powered by Iagon and Farmroll),248,"₳22,038,215","₳36,804,886",NO,"₳600,000",NOT FUNDED,"₳228,300",Approval Threshold
Blockchain-Based Product Distribution Tracking,161,"₳21,933,491","₳32,032,252",NO,"₳500,000",NOT FUNDED,"₳228,300",Approval Threshold
ADANSIE ASSET MANAGEMENT SYSTEM (Adansie= Evidence in Twi),190,"₳21,816,591","₳45,687,798",NO,"₳1,000,000",NOT FUNDED,"₳228,300",Approval Threshold
DexHunter Gamify: Enhancing User Engagement via Gamification,207,"₳21,722,464","₳31,318,859",NO,"₳255,000",NOT FUNDED,"₳228,300",Approval Threshold
PubWeave: Decentralized Peer Reviews,133,"₳21,430,537","₳27,967,042",NO,"₳300,000",NOT FUNDED,"₳228,300",Approval Threshold
Axiom-like Advanced Cardano Trading Platform by DexHunter,196,"₳20,245,998","₳29,857,264",NO,"₳415,000",NOT FUNDED,"₳228,300",Approval Threshold
VyFi Auto-Harvester,190,"₳20,151,660","₳30,670,780",NO,"₳335,000",NOT FUNDED,"₳228,300",Approval Threshold
Driving Mainstream Cardano Adoption via Soccer w/ Miami FC,194,"₳18,706,214","₳31,441,171",NO,"₳300,000",NOT FUNDED,"₳228,300",Approval Threshold
DexSwift,157,"₳17,279,168","₳29,962,129",NO,"₳250,000",NOT FUNDED,"₳228,300",Approval Threshold
Wildcard for Cardano: Enabling Seamless Web3 Gaming,186,"₳16,632,477","₳29,352,073",NO,"₳294,644",NOT FUNDED,"₳228,300",Approval Threshold
"Levvy V3 Phase 2: Stake/Gov, Pooled & Leverage",267,"₳15,465,765","₳29,885,637",NO,"₳250,000",NOT FUNDED,"₳228,300",Approval Threshold
Cardania 2.0 Your AI Guide to Governance,164,"₳15,249,161","₳29,164,674",NO,"₳300,000",NOT FUNDED,"₳228,300",Approval Threshold
"OYA BusRide: ADA Transit Tickets, Manifest & Welfare System",179,"₳15,175,248","₳38,125,672",NO,"₳965,000",NOT FUNDED,"₳228,300",Approval Threshold
Cardano Kit for State Organisations - beHub Healthcare Dept.,171,"₳14,767,638","₳30,783,224",NO,"₳360,000",NOT FUNDED,"₳228,300",Approval Threshold
DappRadar:Discovery Platform for Cardano Mainstream Adoption,156,"₳14,487,057","₳29,793,743",NO,"₳250,000",NOT FUNDED,"₳228,300",Approval Threshold
CAR-dano v2: Tokenize Car Inspections → RWA Market Catalyst,169,"₳14,010,780","₳28,106,831",NO,"₳350,000",NOT FUNDED,"₳228,300",Approval Threshold
Cardano on Bubblemaps V2 (Ft. DexHunter),175,"₳13,938,667","₳32,211,840",NO,"₳450,000",NOT FUNDED,"₳228,300",Approval Threshold
Proof-of-Climate: Verified Environmental Assets on Cardano,190,"₳13,809,899","₳28,822,799",NO,"₳365,000",NOT FUNDED,"₳228,300",Approval Threshold
"Build with journalists, trust incentivizing media pilot.",173,"₳13,251,999","₳34,708,846",NO,"₳250,000",NOT FUNDED,"₳228,300",Approval Threshold
9Z Globant + Cardano: Opening e-sports for Cardano,171,"₳11,462,638","₳35,657,967",NO,"₳744,891",NOT FUNDED,"₳228,300",Approval Threshold
Trusted Product Reviews on Cardano Blockchain,154,"₳11,182,366","₳29,567,936",NO,"₳250,000",NOT FUNDED,"₳228,300",Approval Threshold
Walkers - Gamification for Mass Adoption!,215,"₳10,242,297","₳32,434,679",NO,"₳310,460",NOT FUNDED,"₳228,300",Approval Threshold
First-Class Cardano Support for GridPlus Hardware,139,"₳9,555,450","₳27,952,585",NO,"₳350,000",NOT FUNDED,"₳228,300",Approval Threshold
Trusted Product Transparency on Blockchain,146,"₳8,493,168","₳30,184,432",NO,"₳400,000",NOT FUNDED,"₳228,300",Approval Threshold
